categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat A - Relations avec les clients (A),Les frais liés à un investissement dans un placement collectif :,Sont présentés sous la forme d'un montant global en pourcentage dans le document d'information clé pour l'investisseur (DICI) et en détail dans le prospectus,Sont précisés aux clients uniquement s'ils en font la demande expresse par écrit,Sont présentés en détail dans le document d'information clé pour l'investisseur (DICI) et sous la forme d'un montant global en pourcentage dans le prospectus,A,"Le DICI et le prospectus fournissent des informations transparentes sur les coûts, facilitant ainsi pour les investisseurs la compréhension et la comparaison des frais totaux associés à différents placements collectifs. Le DICI résume les frais en pourcentage, tandis que le prospectus détaille chaque composante des frais.","Guide AMF, S'informer sur les frais liés à vos investissements financiers (accessible via https://www.amf-france.org/Epargne-Info-Service/Savoir-bien-investir/Cadrer-son-projet/Reperes-utiles-sur-les-frais-des-placements-financiers)"
Cat A - Relations avec les clients (A),"Depuis la mise en place de Directive européenne 2004/39/CE dite 'Marchés d'Instruments Financiers' , les clients sont en droit de connaître la catégorie de classification à laquelle ils appartiennent :",Dans certains cas,Dans tous les cas,En aucun cas,B,"La directive MiFID exige que les institutions financières classifient leurs clients en catégories (détail, professionnel, contrepartie éligible) pour assurer un niveau approprié de protection et de transparence, applicable sans exception à tous les clients.",Article D 533-4 du CMF
Cat A - Relations avec les clients (A),"En matière d'information sur les produits complexes, quelles sont les obligations des professionnels ?",Fournir une information compréhensible par un investisseur moyen de la catégorie de client à laquelle s'adresse le produit.,Fournir une information compréhensible par tout type de client,Fournir une information compréhensible par les clients professionnels,A,"Les professionnels doivent communiquer clairement pour que l'investisseur moyen, sans expertise spécifique, comprenne les risques et fonctionnalités du produit financier, conformément à la réglementation visant à protéger les consommateurs et assurer une transparence maximale.",Art 2.1 de la Position AMF 2010-05
Cat A - Relations avec les clients (A),Que peut faire le PSI lors de la détermination des objectifs et de l'horizon d'investissement du client ?,Il ne peut pas intervenir et influencer le client,Il peut proposer une liste d'objectifs d'investissement,Il peut proposer au client de remplir pour lui cette partie du questionnaire,B,Le PSI (Prestataire de Services d'Investissement) a pour rôle d'aider à définir des stratégies financières adaptées. Proposer une liste d'objectifs d'investissement permet au client de visualiser diverses options et de choisir celle qui correspond le mieux à ses attentes et à sa situation financière.,"Position AMF 2013-02, modifiée le 6 novembre 2014 art 4.2.3"
Cat A - Relations avec les clients (A),La politique dite de 'meilleure exécution' concerne la sélection des marchés sur lesquels un Prestataire de Services d 'Investissement (PSI) va pouvoir exécuter les ordres de ses clients dans les meilleures conditions. Pour la réalisation de quel service d 'investissement parmi les suivants le PSI doit-il définir et appliquer cette politique ?,L 'exécution d 'ordres pour compte de tiers,La Réception Transmission d 'Ordres (RTO),Le Conseil en investissement,A,"La politique de meilleure exécution est spécifiquement conçue pour garantir que les ordres exécutés pour le compte des clients soient réalisés dans les conditions les plus avantageuses possibles. Cela impacte directement le service d'exécution d'ordres pour compte de tiers, car le PSI agit en tant qu'intermédiaire pour exécuter des transactions en visant les meilleures conditions pour ses clients.",Article 4 de la DIRECTIVE 2014/65/UE DU PARLEMENT EUROPÉEN ET DU CONSEIL du 15 mai 2014 Article L533-18 CMF
Cat A - Relations avec les clients (A),Les clients des prestataires de services d'investissement autre que les sociétés de gestion de portefeuille doivent-ils être informés de leur catégorisation ?,"Non, cela ne présente aucun intérêt pour eux","Oui, notamment car cela influence leur degré de protection",Seulement s'ils en font la demande écrite,B,"La catégorisation des clients (comme clients de détail, professionnels ou contreparties éligibles) détermine le niveau de protection et d'information requis par la réglementation. Les clients doivent connaître leur catégorie pour être conscients des droits et protections spécifiques qui leur sont applicables.","Article D533-4, II CMF"
Cat A - Relations avec les clients (A),Quelle est l'obligation des prestataires de services d'investissement (PSI) en matière de politique d'exécution des ordres ?,Les prestataires de services d'investissement fournissent des informations appropriées à Euronext sur leur politique d'exécution des ordres,Les prestataires de services d'investissement obtiennent le consentement préalable de leurs clients sur leur politique d'exécution des ordres,Les prestataires présentent chaque année à leurs clients leurs obligations légales et réglementaires en matière de politique d'exécution des ordres,B,"Les PSI doivent obtenir le consentement des clients sur leur politique d'exécution des ordres pour garantir la transparence et aligner les pratiques de trading avec les intérêts et les attentes des clients, conformément aux régulations financières qui visent à protéger les investisseurs.","Règlement (UE) n° 2017/565, art 58 et s. / C. mon. fin., art. L 533-18 III et 314-10-1 / Position - recommandation AMF n°2014 - 07 Guide relatif à la meilleure exécution."
Cat A - Relations avec les clients (A),"Face à un client non professionnel, pour quel service d'investissement le PSI doit-il réaliser un test d'adéquation ?",L'exécution simple d'ordres,La gestion de portefeuille,La réception et la transmission d'ordres,B,"Le test d'adéquation évalue si un service spécifique comme la gestion de portefeuille convient au profil financier, aux objectifs d'investissement, et à l'expérience d'un client non professionnel, assurant que les services proposés correspondent à ses besoins et à sa capacité de prise de risque.",Orientations ESMA concernant certains aspects relatifs aux exigences d'adéquation de la directive MiFID II - 06/11/2018 | ESMA35-43-1163 FR (partie I)
Cat C - Instruments financiers et crypto-actifs,Un 'swap' est un contrat entre deux contreparties :,Dont l 'une s 'engage à acheter un actif sous-jacent à un prix fixé d 'avance sur une période déterminée,Dont l 'une s 'engage à vendre un actif sous-jacent à l 'autre contrepartie à un prix fixé d 'avance sur une période déterminée,Qui s 'engagent à s 'échanger des flux financiers ou des instruments financiers selon un échéancier fixé à l 'avance,C,"Un swap implique un accord prédéfini où les parties échangent des paiements ou des actifs financiers basés sur des conditions et des calendriers convenus, afin de gérer le risque ou réaliser des gains financiers.","Vernimmen ' la gestion du BFR, de la trésorerie, des risques et de l'immobilier ' , p. 1111, Edition 2020"
Cat C - Instruments financiers et crypto-actifs,Le principe de valorisation des instruments financiers de base est :,La connaissance d'un flux futur,La comparaison entre un flux actuel et un flux futur,La valeur actuelle d'un flux futur,C,"La valeur actuelle des flux futurs est une méthode de valorisation qui actualise les paiements futurs attendus d'un instrument financier au taux d'intérêt actuel pour déterminer leur valeur aujourd'hui, permettant ainsi d'évaluer de manière appropriée l'instrument en question.",Site internet focusifrs.com - actions-finance.com - ladocumentationfrancaise.fr
Cat C - Instruments financiers et crypto-actifs,Les obligations indexées sont des obligations dont le montant des coupons et la valeur de remboursement sont :,Basés sur les évolutions du PIB,Basés sur les évolutions d'un indice de prix,Basés sur les taux d'intérêt court terme,B,"Les obligations indexées ajustent leurs paiements en fonction des changements d'un indice de prix, comme l'inflation, pour préserver le pouvoir d'achat de l'investisseur au fil du temps.","Pierre VERNIMMEN, Finance d'entreprise 2009, DALLOZ"
Cat C - Instruments financiers et crypto-actifs,Comment se calcule le BNPA ?,Le rapport du bénéfice net à l'actif net,Par le rapport du bénéfice net (après impôts) au nombre d'actions,Par le rapport du bénéfice net à l'actif brut,B,"Le BNPA (bénéfice net par action) montre le profit attribuable à chaque action de l'entreprise. Calculé en divisant le bénéfice net après impôts par le nombre total d'actions, ce ratio fournit une mesure directe de la rentabilité par action, essentielle pour les investisseurs évaluant la valeur d'une action.",Voir le site AMF : https://www.amf-france.org/Epargne-Info-Service/Comprendre-les-produits-financiers/Actions-Obligations/Actions
Cat C - Instruments financiers et crypto-actifs,Quel type d'OPC peut investir dans des crypto-actifs ?,Les OPCVM,Les ETF,Les FIA,A,"Les OPCVM, Organismes de Placement Collectif en Valeurs Mobilières, sont autorisés à investir dans divers actifs, y compris les crypto-actifs, sous réserve de respecter la réglementation en vigueur qui encadre ces investissements pour diversifier les portefeuilles et rechercher de la performance.",Loi PACTE art.26 RG et Instruction AMF
Cat C - Instruments financiers et crypto-actifs,Quelles sont les règles applicables en matière successorale pour le contrat de capitalisation ?,Il permet de bénéficier d'abattements particuliers,Il offre les mêmes avantages que l'assurance vie,Il n'offre pas d'avantage particulier,C,"Le contrat de capitalisation est soumis aux règles fiscales générales de succession, sans bénéficier de dispositifs fiscaux spécifiques comme ceux applicables à l'assurance-vie, qui permet d'optimiser la transmission avec des abattements et une fiscalité allégée.",Cbanque : La fiscalité du contrat de capitalisation
Cat C - Instruments financiers et crypto-actifs,Toute personne qui propose à un ou plusieurs clients ou clients potentiels d'acquérir des droits sur un ou plusieurs biens en mettant en avant la possibilité d'un rendement financier direct ou indirect ou ayant un effet économique similaire est :,Intermédiaire en opérations de paiement,Intermédiaire en biens divers,Intermédiaire en opérations de banque,B,"L'intermédiaire en biens divers est celui qui propose des investissements dans des biens physiques ou numériques, soulignant un potentiel de profit économique. Cette définition cadre avec l'activité décrite, où un rendement financier est promis en contrepartie d'un investissement dans des biens.",CMF L551-1 et suivants
Cat C - Instruments financiers et crypto-actifs,La valeur liquidative d'un OPC (Organisme de Placement Collectif) :,Est égale à l'actif net de l'OPC divisé par le nombre de parts,Fluctue en Bourse tout au long de la journée,Est la valeur acquise du placement à son échéance,A,"La valeur liquidative représente le prix d'une part d'un OPC. Elle se calcule en divisant l'actif net, qui est la valeur totale des actifs de l'OPC moins ses dettes, par le nombre total de parts émises, donnant ainsi la valeur d'une seule part.",RG AMF - art 411-29
Cat C - Instruments financiers et crypto-actifs,Comment est fixé le taux de rémunération des comptes à terme ?,Il est lié au taux du Plan Epargne Logement (PEL),"Il est libre, fixé par chaque établissement","Il est réglementé, fixé par l'Etat",B,"Le taux de rémunération des comptes à terme n'est pas réglementé par une autorité centrale. Chaque banque ou établissement financier peut ainsi choisir le taux qu'elle offre, souvent en fonction de ses propres stratégies commerciales et de la situation du marché.",ABE Info Service : Compte à terme
Cat C - Instruments financiers et crypto-actifs,La constitution d'un OPCVM est soumise à l'agrément de :,La Banque Centrale Européenne,L'Autorité des Marchés Financiers (AMF),La Banque de France,B,"L'Autorité des Marchés Financiers (AMF) est responsable de la régulation et du contrôle des marchés financiers en France, incluant la supervision des organismes de placement collectif en valeurs mobilières (OPCVM), afin d'assurer la protection des investisseurs et le bon fonctionnement du marché.",GUIDE DES DOCUMENTS REGLEMENTAIRES DES OPC - DOC-2011-05 - AMF
Cat C - Instruments financiers et crypto-actifs,La souscription et le rachat de parts ou actions d'un OPC se font sur la base de :,La valeur liquidative,La valeur de rendement,La valeur acquisitive,A,"Les parts ou actions d’un OPCVM sont évaluées selon la valeur liquidative, qui représente la valeur totale des actifs du fonds divisée par le nombre de parts. Cette méthode assure que les transactions reflètent fidèlement la valeur actuelle des actifs détenus par le fonds.",RG AMF art 411-20
Cat C - Instruments financiers et crypto-actifs,Un émetteur qui souhaite lever des fonds grâce à une Initial Coin Offering (ICO) doit-il demander un VISA à l'AMF pour ce faire ?,"Non, ce VISA est optionnel",Cela dépend du montant de la levée de fonds : oui si celle-ci est supérieure à 1 million d'euros,"Oui, ce VISA est obligatoire",A,"L'AMF propose un visa optionnel pour les ICOs afin d'augmenter la crédibilité de l'émetteur, mais il n'est pas obligatoire. Les émetteurs peuvent donc réaliser une ICO sans ce visa, bien que l'obtenir puisse renforcer la confiance des investisseurs.","Site internet de l'AMF, Protéger son épargne, Crypto-actifs (Bitcoin, etc.), Investir dans le Bitcoin : prudence ! (https://www.amf-france.org/Epargne-Info-Service/Proteger-son-epargne/Crypto-actifs-Bitcoin-etc/Investir-dans-le-bitcoin-prudence)"
Cat C - Instruments financiers et crypto-actifs,Les sociétés émettrices réalisant des offres au public de jetons (Initial Coin Offerings ICO) :,Peuvent solliciter le visa de l 'AMF avant de réaliser un ICO,Doivent obligatoirement recevoir le visa de l 'AMF avant de réaliser un ICO,Ne doivent demander un visa de l 'AMF que si l 'offre dépasse 5 millions d 'euros,A,"En France, les sociétés qui veulent réaliser une ICO peuvent volontairement demander un visa de l'AMF pour renforcer la crédibilité de leur offre et protéger les investisseurs, bien que ce ne soit pas obligatoire. Ce visa vérifie la conformité de l'offre à certaines régulations financières.",Article L552-4 du CMF Article 711-1 RG AMF
Cat C - Instruments financiers et crypto-actifs,Quelle est l'influence d'une baisse des taux à long terme sur le cours d'une obligation à taux fixe ?,La hausse du cours des obligations à taux fixe due à une baisse des taux à long terme est identique pour toutes les obligations,Une baisse des taux à long terme entraîne une baisse du cours des obligations à taux fixe,"Une baisse des taux à long terme entraîne une hausse du cours des obligations à taux fixe, selon leur sensibilité",C,"Quand les taux d'intérêt baissent, les nouvelles obligations sont émises avec des taux plus bas, rendant les anciennes obligations à taux fixe plus attractives car elles offrent des rendements relatifs plus élevés. Cela augmente la demande pour ces anciennes obligations, faisant monter leur prix.","QUIRY Pascal et LE FUR Yann, Pierre Vernimmen Finance d'entreprise 2020, éditions Dalloz (Paris), 18ème édition, 22.23."
Cat C - Instruments financiers et crypto-actifs,Qu'est-ce qu'un certificat d'investissement ?,Est une action sans droit de vote,Est un titre de propriété d'actions nominative,Est un document papier certfiant la détention d'instruments financiers,A,"Un certificat d'investissement représente la propriété d'une partie du capital d'une société mais sans donner à son détenteur le droit de vote aux assemblées générales, contrairement aux actions ordinaires qui confèrent ce droit.",Titre II quater de la loi n°47-1775 article 19
Cat C - Instruments financiers et crypto-actifs,La surveillance du marché des titres de créances négociables est assurée par :,Euronext Paris,La Banque de France,L'AMF,B,"La Banque de France est responsable de réguler et de surveiller les marchés financiers, y compris le marché des titres de créances négociables, pour assurer leur bon fonctionnement et leur stabilité. Elle veille au respect des règles et intervient en cas de nécessité.",COMOFI Livre II Site Banque de France
Cat C - Instruments financiers et crypto-actifs,Quel organisme a la responsabilité deu calcul de la valeur liquidative d'un fonds ?,La société de gestion,Le dépositaire,Le commissaire aux comptes,A,"La société de gestion supervise les actifs du fonds, effectue les calculs nécessaires pour déterminer la valeur des actifs moins les passifs, puis divise ce résultat par le nombre de parts existantes, aboutissant à la valeur liquidative du fonds. Cela cadre avec leurs responsabilités de gestion et d'administration financière.",Article 422-26 du RG AMF
Cat C - Instruments financiers et crypto-actifs,Le détenteur d'une obligation dite in fine perçoit :,Les intérêts au terme de chaque période et la totalité du capital à la date de maturité,Les intérêts et la totalité du capital à la date de maturité,"Une fraction identique du capital et des intérêts décroissants au terme de chaque période, jusqu'à la date de maturité",A,"Dans une obligation in fine, les intérêts sont généralement versés périodiquement (par exemple annuellement), et le principal est remboursé en totalité à l'échéance finale de l'obligation, d'où le terme ' in fine ' qui signifie à la fin.","Les marchés de capitaux Dupuy, Fontaine, Hamet 2018"
Cat C - Instruments financiers et crypto-actifs,Existe-t-il un risque de marché sur la valeur d'une obligation ?,"Oui, la revente avant l'échéance peut entraîner un gain ou une perte","Non, le seul risque est celui du non-remboursement à l'échéance","Non, le nominal est toujours garanti",A,"La valeur de marché d'une obligation fluctue en fonction des taux d'intérêt. Si vous revendez une obligation avant son échéance, son prix pourrait avoir augmenté ou diminué par rapport à votre prix d'achat initial, générant ainsi un gain ou une perte.",Glossaire AMF
Cat C - Instruments financiers et crypto-actifs,"Parmi les définitions ci-dessous, relatives au droit d'attribution, laquelle est exacte ?",Le droit d'attribution est le droit prioritaire d'un actionnaire de souscrire à une augmentation de capital ; ce droit ne peut être cédé à un tiers.,Le droit d'attribution est le droit pour l'actionnaire de participer à une attribution gratuite d'actions ou de vendre ce droit.,Le droit d'attribution est le droit des actionnaires à une quote-part des bénéfices sociaux.,B,"Le droit d’attribution permet aux actionnaires existants de recevoir des actions supplémentaires sans frais, ou de vendre ce droit, souvent, lors d’une augmentation de capital pour maintenir leur pourcentage de participation et éviter une dilution de leur part.","C. com., art. L 228-91 et s."
Cat C - Instruments financiers et crypto-actifs,Comment sont émis les titres de créances négociables (TCN) ?,En dessous du pair uniquement ; ils ne peuvent pas être émis au pair,Au pair uniquement ; ils ne peuvent pas être émis en dessous du pair,"Au pair, en dessous du pair ou avec une prime de remboursement",C,"Les TCN sont émis soit au pair (valeur nominale exacte), en dessous du pair (moins que la valeur nominale pour attirer les investisseurs), ou avec prime de remboursement (plus que la valeur nominale, compensant le risque plus élevé ou la durée plus longue).","C. mon. fin., art. D 213-1 et s. / QUIRY Pascal et LE FUR Yann, Pierre Vernimmen Finance d'entreprise 2019, 17ème édition, éditions Dalloz (Paris), consulté en ligne sur www.vernimmen.net."
Cat C - Instruments financiers et crypto-actifs,Sur la base de combien de jours le taux Euribor (Euro Interbank Offered Rate) est-il calculé ?,360 jours,365 jours,30 jours,A,"L'Euribor utilise une convention de comptage de jours de 360 jours, standard dans le marché monétaire international, pour simplifier les calculs d'intérêt en rendant chaque mois équivalent à 30 jours.",Site internet de la Banque de France www.banque-france.fr/statistiques/taux-et-cours/taux-interbancaires
Cat C - Instruments financiers et crypto-actifs,La valorisation d'une société repose généralement sur :,Son capital social,Son actif net comptable,Une approche multicritères,C,"Pour valoriser une société, on combine plusieurs méthodes comme la comparaison avec des entreprises similaires, l'analyse des flux de trésorerie futurs et l'évaluation des actifs. Cette approche multicritères permet d'obtenir une estimation plus précise et fiable de la valeur de l'entreprise.",Site internet actufinance.fr - boursorama.com -abcbourse.com
Cat C - Instruments financiers et crypto-actifs,"Parmi les affirmations suivantes à propos des swaps, laquelle est correcte ?","Dans un Swap, les dettes (ou créances) sont échangées.",Un swap consiste à échanger le service d'une dette (ou d'une créance) ayant certaines caractéristiques de taux contre une autre ayant des caractéristiques de taux différentes.,Les swaps se négocient sur des marchés organisés.,B,"Un swap permet aux parties d'échanger des flux de paiements futurs pour gérer ou modifier leur exposition aux risques de taux d'intérêt, ce qui est bien illustré par l'échange de caractéristiques différentes de taux dans la réponse.","QUIRY Pascal et LE FUR Yann, Pierre Vernimmen Finance d'entreprise 2020, éditions Dalloz (Paris), 18ème édition, 53.18"
Cat C - Instruments financiers et crypto-actifs,"Parmi les affirmations suivantes, laquelle est exacte ?",Les actions donnent droit au versement d'un intérêt annuel,Les actions protègent les investisseurs d'une perte en capital,Les actions permettent à leurs détenteurs de participer aux assemblées générales des entreprises émettrices,C,"Les actions confèrent à leurs détenteurs des droits de vote qui leur permettent de participer aux décisions de l'entreprise lors des assemblées générales, impactant ainsi la gestion et la stratégie de l'entreprise.",Article R225-68 du code de commerce
Cat C - Instruments financiers et crypto-actifs,Quel acteur a la responsabilité de la validation de la valeur liquidative d'un OPC ?,La société de gestion,Le dépositaire,Le commissaire aux comptes,A,"La société de gestion est responsable de l'OPC et gère activement le portefeuille, incluant le calcul de la valeur liquidative par ses services administratifs pour assurer la conformité et l'exactitude financière.",RG AMF art 411-24
Cat C - Instruments financiers et crypto-actifs,Les actions assorties d'un droit de vote double :,Sont interdites en France,Constituent des actions de préférence,Constituent des actions ordinaires,B,"Les actions à droit de vote double confèrent à leur détenteur plus d'influence sur les décisions de l'entreprise que les actions ordinaires, ce qui les rend similaires aux actions de préférence qui offrent également des avantages spécifiques non disponibles pour les actionnaires ordinaires.",Articles L228-11 du code du commerce (actions de préférence accordant des droits particuliers de toute nature) et L225-123 du code du commerce (actions à droit de vote double)
Cat C - Instruments financiers et crypto-actifs,Une offre publique de jeton (ICO) est ainsi qualifiée :,Lorsque le nombre de personne à qui elle est proposée est supérieure à un seuil fixé par le RG AMF,Lorsque le nombre de personne à qui elle est proposée est inférieure à un seuil fixé par le RG AMF,Quel que soit le nombre de personne à qui elle est proposée,A,"L'AMF définit les seuils réglementaires spécifiant le nombre de participants minimum requis pour qu'une levée de fonds soit considérée comme une offre publique, ce qui inclut les ICOs afin de s'assurer d'une diffusion et d'une transparence adéquates.",CMF L. 552-3
Cat C - Instruments financiers et crypto-actifs,Est-il possible de vendre une obligation avant son échéance ?,"Oui, mais il existe alors un risque de perte en capital","Non, cela est strictement interdit sous peine de nullité de la cession","Oui, sous réserve d'obtenir une autorisation expresse et préalable de l'AMF",A,"Les obligations peuvent être vendues sur le marché secondaire avant l'échéance. Le prix de vente dépend de la demande, des taux d'intérêt actuels et d'autres facteurs économiques. Si les taux ont augmenté depuis l'achat, le prix de l'obligation baisse, causant potentiellement une perte en capital.","Fiche AMF ' Comprendre les obligations avant d'investir ' , §3 (https://www.amf-france.org/Epargne-Info-Service/Comprendre-les-produits-financiers/Actions-Obligations/Obligations/Comprendre-les-obligations-avant-d-investir)"
Cat C - Instruments financiers et crypto-actifs,"Une action de préférence ne peut pas être l'un des instruments financiers suivants, lequel ?",Un certificat d'investissement,Une action sans droit de vote,Un warrant,C,"Les warrants sont des dérivés qui donnent le droit, mais pas l'obligation, d'acheter ou vendre des actions à un prix fixé préalablement. En revanche, une action de préférence est un type de part propriétaire offrant dividendes priorisés ou autres avantages, sans comporter ces droits spécifiques de transaction attachés.",Banque de France - fiche N°312 https://entreprises.banque-france.fr/sites/default/files/bdf_reffin_chap3_312.pdf
Cat C - Instruments financiers et crypto-actifs,Qu'est-ce qu'un compte à terme ?,Un placement bancaire rémunéré dont la durée est fixée préalablement,Une technique de prévision d'investissement futur,Est un contrat financier à terme,A,"Un compte à terme est un produit d'épargne où l'argent est déposé pour une période déterminée, durant laquelle il génère des intérêts. La caractéristique principale est la fixation de la durée à l'avance, ce qui permet de planifier le rendement et la disponibilité des fonds.",Article 4 du Règlement no 86-13 du 14 mai 1986 (maj Nov 2016)
Cat C - Instruments financiers et crypto-actifs,"Parmi les instruments suivants, lequel n'est pas un OPC ?","Aucune réponse ne convient, les SEF et les FCT sont des OPC.",Les FCT (fonds commun de titrisation).,Les SEF (Sociétés d'Épargne Forestière).,A,"Les SEF (sociétés d'épargne foncière) et les FCT (fonds communs de titrisation) sont tous deux classifiés comme organismes de placement collectif (OPC), qui regroupent l'épargne des investisseurs pour investir dans divers actifs. Ainsi, l'affirmation est exacte car ces deux options sont effectivement des OPC.","C. mon. fin., art. L 214-1."
Cat C - Instruments financiers et crypto-actifs,"En cas de défaut de la plateforme sur laquelle un épargnant a stocké ses crypto-monnaies, le FGDR (fonds de garantie des dépôts et de résolution) :",Couvre les pertes jusqu'à 1000 000 € grâce à la garantie des dépôts,Ne couvre pas les pertes de l'épargnant,Couvre les pertes jusqu'à 70 000 € grâce à la garantie des titres,B,Le FGDR protège uniquement les dépôts en euros et autres devises traditionnelles jusqu'à 100 000 euros. Les crypto-monnaies ne sont pas reconnues comme monnaie légale par les banques centrales et ne relèvent donc pas de la juridiction du FGDR.,garantiedesdepots.fr
Cat C - Instruments financiers et crypto-actifs,"Dans le cadre de l'intermédiation de biens divers, le gestionnaire doit faire parvenir à l'AMF l'inventaire des biens dont il assure la gestion :",Dans un délai d'un mois,Dans un délai de 2 mois,Dans un délai de 3 mois,C,"Ce délai de trois mois permet une régulation efficace et une supervision adaptée par l'AMF, assurant transparence et conformité dans la gestion des biens, protégeant ainsi les intérêts des investisseurs et le bon fonctionnement du marché.",CMF 551-4
Cat C - Instruments financiers et crypto-actifs,Les produits dérivés :,Sont des produits dont la valeur fluctue en fonction d'un actif appelé sous-jacent,Sont des produits financiers négociés sur les marchés de pays émergents,Sont des produits uniquement négociés sur des marchés réglementés,A,"Les produits dérivés tirent leur valeur d'autres actifs financiers, nommés sous-jacents (par exemple, actions ou devises). Leur prix varie donc directement en réponse aux changements de prix de ces sous-jacents.","Introduction aux marchés financiers, 2ème édition, ECONOMICA,, Erwan LE SAOUT"
Cat C - Instruments financiers et crypto-actifs,Comment vest calculé la Valeur liquidative d'un fonds ?,En divisant la valeur globale de l'actif net par le nombre de parts,En appliquant un taux de pogression régulier au prix initial d'émission,En divisant la valeur d'achat des actifs par le nombre de parts,A,"La valeur liquidative (VL) reflète la valeur par part d'un fonds. Elle est déterminée en divisant la valeur totale des actifs du fonds (moins ses passifs) par le nombre total de parts émises, offrant ainsi une estimation du prix d'une part individuelle.",Publication AMF : La valeur liquidative d'un OPC (SICAV et FCP) - Avril 2015
Cat C - Instruments financiers et crypto-actifs,"Parmi ces produits, lequel fait partie des 'biens divers' ?",Un bon de souscription d'actions,Un placement dans des bouteilles de vin,Un contrat d'assurance-vie en unités de compte,B,"Les ' biens divers ' incluent des actifs tangibles non traditionnels, comme le vin, qui sont considérés investissements alternatifs et peuvent varier en valeur. Les bouteilles de vin collectionnables sont des exemples typiques de cette catégorie du fait de leur potentiel d'appréciation.",Site AMF - Espace épargnant - Placements atypiques : des investissements à considérer avec prudence - publié le 24 juillet 2017
Cat C - Instruments financiers et crypto-actifs,Que signifie le sigle EURIBOR ?,Euro Interbank Official Rate,Euro InterBank Organized Rate,Euro Interbank Offered Rate,C,"EURIBOR est un taux d'intérêt auquel les banques se prêtent de l'argent entre elles dans la zone euro. Le terme ' Euro Interbank Offered Rate ' traduit littéralement cela, soulignant son rôle comme référence des taux interbancaires en euros.",Site Banque de France/statistiques/taux interbancaire
Cat C - Instruments financiers et crypto-actifs,Quel est le statut d'un détenteur de parts de FCP ?,Il est créancier,Il est actionnaire,Il est copropriétaire,C,"Les parts de FCP représentent une propriété fractionnée du portefeuille du fonds. En achetant ces parts, le détenteur devient copropriétaire des actifs sous-jacents du fonds, partageant ainsi la propriété collective avec d'autres détenteurs de parts.",Lexique AMF - FCP
Cat C - Instruments financiers et crypto-actifs,"Si le coefficient Beta d'une action est supérieur à 1, comment évolue le cours de l'action ?",En amplifiant les variations du marché,En atténuant les variations du marché,En reproduisant à l'identique les variations du marché,A,"Le coefficient Beta mesure la sensibilité d'une action aux mouvements du marché. Un Beta supérieur à 1 signifie que l'action est plus volatile que le marché ; donc, si le marché monte ou descend, l'action réagira de manière plus prononcée à ces changements.",Voir le site : https://www.vernimmen.net/Lire/Lettre_Vernimmen/Lettre_23.html
Cat C - Instruments financiers et crypto-actifs,Le risque de défaillance de l'acheteur ou du vendeur au moment du règlement-livraison se nomme :,Le risque de contrepartie lié à la transaction,Le risque de liquidité,Le risque de crédit,A,"Le risque de contrepartie dans une transaction financière se rapporte à la possibilité que l'une des parties impliquées ne remplisse pas ses engagements contractuels, comme payer ou livrer des actifs, au moment convenu. Ce risque concerne donc directement les situations de défaillance lors des transactions.",amf-france.org/Acteurs-et-produits/Marches-financiers-et-infrastructures/Chambre-de-compensation
Cat C - Instruments financiers et crypto-actifs,Est intermédiaire en biens divers :,Toute personne qui propose à un ou plusieurs clients ou clients potentiels d'acquérir des droits sur un ou plusieurs biens sans que ce droit ne soit nécessairement affecté à un rendement financier direct ou indirect ou un effet économique similaire,Toute personne qui propose à un ou plusieurs clients ou clients potentiels d'acquérir des droits sur un ou plusieurs biens en mettant en avant la possibilité d'un rendement financier direct ou indirect ou ayant un effet économique similaire,Toute personne qui propose à un ou plusieurs clients ou clients potentiels d'acquérir des droits sur un ou plusieurs biens entrainant un rendement financier direct ou un effet économique similaire sur ledit bien,B,"Un intermédiaire en biens divers est défini ainsi car il l'acte d’offrir des biens avec une promesse de retour financier implique la mise en relation, la promotion et la vente de biens en soulignant un bénéfice économique, activités typiques d’un intermédiaire.",loi n° 2013-344 du 17 mars 2014 et CMF Art L550-1-II
Cat C - Instruments financiers et crypto-actifs,"Lors de l'émission d'une obligation convertible, le prix proposé pour la conversion est :",Peut être inférieur ou supérieur au cours de l'action,Toujours inférieur au cours de l'action,Toujours supérieur au cours de l'action,C,"Ce prix supérieur encourage les investisseurs à acheter des obligations plutôt que des actions directement, tout en offrant une prime potentiellement attractive si le cours de l'action augmente significativement. Cela protège également la société contre une dilution excessive de ses actions.","Ouvrage ' Finance de marché: Instruments de base, produits dérivés, portefeuilles et risques ' Poncet et Portait"
Cat C - Instruments financiers et crypto-actifs,"Parmi ces produits, quels sont ceux catégorisés comme OPC (Organismes de Placement Collectif) ?",Les titres de créances négociables,Les fonds communs de titrisation,Les fonds communs de placement,C,"Les fonds communs de placement collectent des fonds auprès de nombreux épargnants pour investir dans un portefeuille diversifié d'actifs, ce qui les définit comme des organismes de placement collectif (OPC).",L 214-1 Code Monétaire et Financier
